Area,PostCode,Lat,Lon
HARSENS ISLAND,48028,42.5772353,-82.6159271
HARTLAND,48353,42.6437242,-83.7305392
HAZEL PARK,48030,42.465601,-83.0951852
HIGHLAND,48356,42.6549714,-83.581615
HIGHLAND,48357,42.6585338,-83.6454831
HILLSDALE,49242,41.8933451,-84.6269824
HOLLY,48442,42.7833139,-83.6135572
HOMER,49245,42.1587784,-84.8150781
HORTON,49246,42.1348269,-84.5117321
HUDSON,49247,41.8396194,-84.3331694
IDA,48140,41.8891589,-83.581615
IMLAY CITY,48444,43.0791253,-83.0361376
INKSTER,48141,42.2882655,-83.3254958
JACKSON,49201,42.3151209,-84.375233
JACKSON,49202,42.2675415,-84.406761
JACKSON,49203,42.2085364,-84.406761
JASPER,49248,41.7536392,-84.0061661
JEDDO,48032,43.147139,-82.5834947
JEROME,49249,42.0134176,-84.448772
JONESVILLE,49250,42.0120145,-84.6269824
KEEGO HARBOR,48320,42.6142937,-83.3388608
FILION,48432,43.9079284,-82.9609096
KINDE,48445,43.9723794,-82.9286428
LAKE ORION,48359,42.720287,-83.277359
LAKE ORION,48360,42.7521266,-83.2398943
LAKE ORION,48362,42.7780102,-83.266657
LAMBERTVILLE,48144,41.7529088,-83.624201
LAPEER,48446,43.0221538,-83.3789389
LENNON,48449,42.9856183,-83.9426698
LEONARD,48367,42.8338319,-83.1434573
LESLIE,49251,42.4740538,-84.4172666
LEXINGTON,48450,43.2110534,-82.5294065
LINCOLN PARK,48146,42.2401741,-83.1756188
LINDEN,48451,42.8041237,-83.8154791
LITCHFIELD,49252,42.0178138,-84.7524482
LIVONIA,48150,42.3691884,-83.3682539
LIVONIA,48152,42.4279422,-83.3682539
LIVONIA,48154,42.3939863,-83.3735966
MANCHESTER,48158,42.1407459,-84.0378894
MANITOU BEACH,49253,41.9645946,-84.2594861
MARINE CITY,48039,42.6898825,-82.5510469
MARLETTE,48453,43.3104318,-83.0361376
MARYSVILLE,48040,42.8991801,-82.4861053
MELVIN,48454,43.190551,-82.8101975
MEMPHIS,48041,42.9290398,-82.7994194
METAMORA,48455,42.9578295,-83.2720082
MICHIGAN CENTER,49254,42.2292596,-84.3279093
MILAN,48160,42.0808666,-83.6561215
MILFORD,48380,42.5908492,-83.6561215
MILFORD,48381,42.5913416,-83.6001904
MINDEN CITY,48456,43.6625136,-82.8425216
ERIE,48133,41.7550489,-83.4856913
